date,close
2020-07-09,262.18
2020-07-10,263.97
2020-07-13,258.54
2020-07-14,260.37
2020-07-15,260.9
2020-07-16,259.12
2020-07-17,259.42
2020-07-20,266.78
2020-07-21,264.0
2020-07-22,264.93
2020-07-23,258.01
2020-07-24,255.56
2020-07-27,260.12
2020-07-28,256.81
2020-07-29,259.77
2020-07-30,261.13
2020-07-31,265.79
2020-08-03,269.38
2020-08-04,270.38
2020-08-05,271.05
2020-08-06,274.64
2020-08-07,271.47
2020-08-10,270.31
2020-08-11,265.19
2020-08-12,271.86
2020-08-13,272.48
2020-08-14,272.16
2020-08-17,275.32
2020-08-18,277.97
2020-08-19,276.1
